Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
Pigs,2020,Eastern and Midland,Euro Million,145.6347488,163.26765560538115
Pigs,2020,Dublin and Mid-East,Euro Million,38.04149333,42.6474140470852
Pigs,2020,Midland,Euro Million,107.5932555,120.62024159192823
Pigs,2021,State,Euro Million,555.4060348,607.0011309289619
Pigs,2021,Northern and Western,Euro Million,157.1241592,171.72039256830604
Pigs,2021,Border,Euro Million,141.7881819,154.9597616393443
Pigs,2021,West,Euro Million,15.33597726,16.760630885245902
Pigs,2021,Southern,Euro Million,271.350151,296.5575420765027
Pigs,2021,Mid-West,Euro Million,78.38945238,85.6715326557377
Pigs,2021,South-East,Euro Million,87.39112531,95.50942656830603
Pigs,2021,South-West,Euro Million,105.5695733,115.37658284153007
Pigs,2021,Eastern and Midland,Euro Million,126.9317246,138.723196284153
Pigs,2021,Dublin and Mid-East,Euro Million,30.28864789,33.10234742076503
Pigs,2021,Midland,Euro Million,96.64307673,105.62084888524592
Pigs,2022,State,Euro Million,620.2345962,639.4171094845361
Pigs,2022,Northern and Western,Euro Million,173.3992813,178.76214567010308
Pigs,2022,Border,Euro Million,156.9115351,161.76446917525772
Pigs,2022,West,Euro Million,16.48774611,16.997676402061852
Pigs,2022,Southern,Euro Million,299.537724,308.80177731958764
Pigs,2022,Mid-West,Euro Million,85.79716343,88.4506839484536
Pigs,2022,South-East,Euro Million,97.48190808,100.49681245360823
Pigs,2022,South-West,Euro Million,116.2586525,119.85428092783503
Pigs,2022,Eastern and Midland,Euro Million,147.2975909,151.85318649484535
