,Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
199,Cattle,2015,Northern and Western,Euro Million,653.7,764.561403508772
200,Cattle,2015,Border,Euro Million,289.3,338.3625730994152
201,Cattle,2015,West,Euro Million,364.3,426.08187134502924
202,Cattle,2015,Southern,Euro Million,1169.4,1367.719298245614
203,Cattle,2015,Mid-West,Euro Million,446.6,522.3391812865497
204,Cattle,2015,South-East,Euro Million,322.1,376.72514619883043
205,Cattle,2015,South-West,Euro Million,400.7,468.6549707602339
206,Cattle,2015,Eastern and Midland,Euro Million,538.4,629.7076023391812
207,Cattle,2015,Dublin and Mid-East,Euro Million,239.4,280.0
208,Cattle,2015,Midland,Euro Million,299.1,349.82456140350877
209,Cattle,2016,State,Euro Million,2288.9,2667.715617715618
210,Cattle,2016,Northern and Western,Euro Million,630.1,734.3822843822844
211,Cattle,2016,Border,Euro Million,279.1,325.29137529137535
212,Cattle,2016,West,Euro Million,351.0,409.0909090909091
213,Cattle,2016,Southern,Euro Million,1137.4,1325.6410256410259
214,Cattle,2016,Mid-West,Euro Million,437.5,509.90675990675993
215,Cattle,2016,South-East,Euro Million,310.5,361.8881118881119
216,Cattle,2016,South-West,Euro Million,389.4,453.84615384615387
217,Cattle,2016,Eastern and Midland,Euro Million,521.5,607.8088578088579
218,Cattle,2016,Dublin and Mid-East,Euro Million,230.5,268.64801864801865
219,Cattle,2016,Midland,Euro Million,291.0,339.1608391608392
220,Cattle,2017,State,Euro Million,2362.126951,2721.3444135944706
221,Cattle,2017,Northern and Western,Euro Million,638.2203629,735.2769157834102
222,Cattle,2017,Border,Euro Million,282.868041,325.8848398617512
223,Cattle,2017,West,Euro Million,355.3523219,409.392075921659
224,Cattle,2017,Southern,Euro Million,1175.199789,1353.9168076036867
225,Cattle,2017,Mid-West,Euro Million,456.1941813,525.569333294931
226,Cattle,2017,South-East,Euro Million,322.7932813,371.881660483871
227,Cattle,2017,South-West,Euro Million,396.2123267,456.465814170507
228,Cattle,2017,Eastern and Midland,Euro Million,548.7067986,632.1506896313364
229,Cattle,2017,Dublin and Mid-East,Euro Million,242.5676205,279.45578398617516
230,Cattle,2017,Midland,Euro Million,306.1391781,352.6949056451613
231,Cattle,2018,State,Euro Million,2248.149515,2563.4544070695556
232,Cattle,2018,Northern and Western,Euro Million,601.3248351,685.6611574686431
233,Cattle,2018,Border,Euro Million,265.5783347,302.82592326111745
234,Cattle,2018,West,Euro Million,335.7465004,382.8352342075257
235,Cattle,2018,Southern,Euro Million,1119.163431,1276.1270592930443
236,Cattle,2018,Mid-West,Euro Million,431.5266711,492.0486557582668
237,Cattle,2018,South-East,Euro Million,308.9310411,352.2588838084379
238,Cattle,2018,South-West,Euro Million,378.7057183,431.81951915621437
239,Cattle,2018,Eastern and Midland,Euro Million,527.6612497,601.6661912200684
240,Cattle,2018,Dublin and Mid-East,Euro Million,233.7141913,266.4928064994299
241,Cattle,2018,Midland,Euro Million,293.9470584,335.1733847206385
242,Cattle,2019,State,Euro Million,2143.926863,2419.7820124153504
243,Cattle,2019,Northern and Western,Euro Million,587.682407,663.2984277652371
244,Cattle,2019,Border,Euro Million,260.0934997,293.55925474040635
245,Cattle,2019,West,Euro Million,327.5889073,369.73917302483073
246,Cattle,2019,Southern,Euro Million,1057.774733,1193.8766738148984
247,Cattle,2019,Mid-West,Euro Million,412.6718584,465.7695918735892
248,Cattle,2019,South-East,Euro Million,285.0305173,321.7048727990971
249,Cattle,2019,South-West,Euro Million,360.0723571,406.40220891647857
250,Cattle,2019,Eastern and Midland,Euro Million,498.4697228,562.6069106094809
251,Cattle,2019,Dublin and Mid-East,Euro Million,219.7381102,248.0114110609481
252,Cattle,2019,Midland,Euro Million,278.7316125,314.59549943566594
253,Cattle,2020,State,Euro Million,2290.496005,2567.8206334080714
254,Cattle,2020,Northern and Western,Euro Million,632.8931532,709.5214721973094
255,Cattle,2020,Border,Euro Million,281.436459,315.51172533632285
256,Cattle,2020,West,Euro Million,351.4566942,394.0097468609865
257,Cattle,2020,Southern,Euro Million,1130.211354,1267.0530874439462
258,Cattle,2020,Mid-West,Euro Million,443.2676541,496.9368319506726
259,Cattle,2020,South-East,Euro Million,303.0386627,339.7294424887892
260,Cattle,2020,South-West,Euro Million,383.9050375,430.3868133408071
261,Cattle,2020,Eastern and Midland,Euro Million,527.3914978,591.2460737668162
262,Cattle,2020,Dublin and Mid-East,Euro Million,232.1846303,260.2966707399103
263,Cattle,2020,Midland,Euro Million,295.2068675,330.94940302690577
264,Cattle,2021,State,Euro Million,2580.723188,2820.462500546448
265,Cattle,2021,Northern and Western,Euro Million,711.3069755,777.3846726775957
266,Cattle,2021,Border,Euro Million,315.3517897,344.64676469945357
267,Cattle,2021,West,Euro Million,395.9551858,432.7379079781421
268,Cattle,2021,Southern,Euro Million,1276.993696,1395.6215256830603
269,Cattle,2021,Mid-West,Euro Million,504.6757015,551.558143715847
270,Cattle,2021,South-East,Euro Million,339.8137824,371.38118295081966
271,Cattle,2021,South-West,Euro Million,432.5042122,472.6821991256831
272,Cattle,2021,Eastern and Midland,Euro Million,592.4225161,647.456301748634
273,Cattle,2021,Dublin and Mid-East,Euro Million,260.2028765,284.3747284153006
274,Cattle,2021,Midland,Euro Million,332.2196396,363.0815733333334
275,Cattle,2022,State,Euro Million,3026.843313,3120.45702371134
276,Cattle,2022,Northern and Western,Euro Million,823.6885779,849.163482371134
277,Cattle,2022,Border,Euro Million,364.6860934,375.965044742268
278,Cattle,2022,West,Euro Million,459.0024846,473.19843773195873
279,Cattle,2022,Southern,Euro Million,1507.94047,1554.577804123711
280,Cattle,2022,Mid-West,Euro Million,593.8591413,612.2259188659793
281,Cattle,2022,South-East,Euro Million,403.4177483,415.89458587628866
282,Cattle,2022,South-West,Euro Million,510.66358,526.4572989690721
283,Cattle,2022,Eastern and Midland,Euro Million,695.2142649,716.7157370103092
284,Cattle,2022,Dublin and Mid-East,Euro Million,303.5532723,312.9415178350515
285,Cattle,2022,Midland,Euro Million,391.6609926,403.77421917525766
286,Pigs,2010,State,Euro Million,333.7,405.96107055961073
287,Pigs,2010,Northern and Western,Euro Million,99.5,121.04622871046229
288,Pigs,2010,Border,Euro Million,88.8,108.02919708029198
289,Pigs,2010,West,Euro Million,10.7,13.017031630170317
290,Pigs,2010,Southern,Euro Million,155.5,189.1727493917275
291,Pigs,2010,Mid-West,Euro Million,39.5,48.053527980535286
292,Pigs,2010,South-East,Euro Million,50.7,61.67883211678833
293,Pigs,2010,South-West,Euro Million,65.3,79.4403892944039
294,Pigs,2010,Eastern and Midland,Euro Million,78.7,95.74209245742094
295,Pigs,2010,Dublin and Mid-East,Euro Million,18.9,22.992700729927005
296,Pigs,2010,Midland,Euro Million,59.8,72.74939172749392
297,Pigs,2011,State,Euro Million,394.2,466.50887573964496
298,Pigs,2011,Northern and Western,Euro Million,112.1,132.66272189349112
299,Pigs,2011,Border,Euro Million,99.3,117.51479289940829
300,Pigs,2011,West,Euro Million,12.7,15.029585798816568
301,Pigs,2011,Southern,Euro Million,201.6,238.57988165680473
302,Pigs,2011,Mid-West,Euro Million,58.9,69.70414201183432
303,Pigs,2011,South-East,Euro Million,59.0,69.8224852071006
304,Pigs,2011,South-West,Euro Million,83.8,99.1715976331361
305,Pigs,2011,Eastern and Midland,Euro Million,80.6,95.38461538461539
306,Pigs,2011,Dublin and Mid-East,Euro Million,20.8,24.615384615384617
307,Pigs,2011,Midland,Euro Million,59.8,70.76923076923077
308,Pigs,2012,State,Euro Million,441.5,518.801410105758
309,Pigs,2012,Northern and Western,Euro Million,121.5,142.7732079905993
310,Pigs,2012,Border,Euro Million,108.3,127.26204465334902
311,Pigs,2012,West,Euro Million,13.2,15.511163337250295
312,Pigs,2012,Southern,Euro Million,216.2,254.0540540540541
313,Pigs,2012,Mid-West,Euro Million,55.6,65.33490011750882
314,Pigs,2012,South-East,Euro Million,70.3,82.60869565217392
315,Pigs,2012,South-West,Euro Million,90.4,106.22796709753234
316,Pigs,2012,Eastern and Midland,Euro Million,103.8,121.9741480611046
317,Pigs,2012,Dublin and Mid-East,Euro Million,28.5,33.49001175088132
318,Pigs,2012,Midland,Euro Million,75.3,88.48413631022328
319,Pigs,2013,State,Euro Million,475.7,557.0257611241218
320,Pigs,2013,Northern and Western,Euro Million,126.7,148.36065573770492
321,Pigs,2013,Border,Euro Million,112.1,131.2646370023419
322,Pigs,2013,West,Euro Million,14.6,17.096018735362996
323,Pigs,2013,Southern,Euro Million,235.8,276.11241217798596
324,Pigs,2013,Mid-West,Euro Million,62.7,73.4192037470726
325,Pigs,2013,South-East,Euro Million,71.5,83.72365339578454
326,Pigs,2013,South-West,Euro Million,101.6,118.96955503512879
327,Pigs,2013,Eastern and Midland,Euro Million,113.2,132.55269320843092
